text,label
"Government announces new education policy for students",REAL
"Scientists develop new solar energy technology",REAL
"New railway project approved by government",REAL
"University announces scholarship program for students",REAL
"Scientists discover new treatment technology",REAL
"India launches new satellite successfully",REAL
"Government announces new digital payment system",REAL
"New airport project receives official approval",REAL
"Researchers publish study on climate change",REAL
"National bank announces new customer service",REAL
"Aliens land in Mumbai and meet the prime minister",FAKE
"Drinking water gives humans the ability to live for 200 years",FAKE
"Moon will disappear from the sky next week",FAKE
"Government will give every citizen one crore rupees tomorrow",FAKE
"Scientists say humans can live without food",FAKE
"Famous actor secretly becomes president of India",FAKE
"One phone call can make you instantly rich",FAKE
"Scientists discover humans can fly without equipment",FAKE
"Government announces free cars for every citizen",FAKE
"Chocolate makes people invisible according to scientists",FAKE
